date,SST_A
01/08/2003,0.4255041
01/09/2003,0.1938733
01/10/2003,0.09984641
01/11/2003,0.05753606
01/12/2003,-0.03485427
01/01/2004,-0.2295783
01/02/2004,-0.2143184
01/03/2004,-0.2726511
01/04/2004,-0.3121127
01/05/2004,-0.2287391
01/06/2004,-0.1733323
01/07/2004,-0.2063331
01/08/2004,0.03295046
01/09/2004,0.2083141
01/10/2004,0.08702444
01/11/2004,0.1594161
01/12/2004,0.0271979
01/01/2005,0.1003023
01/02/2005,0.0444748
01/03/2005,0.1177571
01/04/2005,0.1414527
01/05/2005,-0.1412956
01/06/2005,-0.2231453
01/07/2005,0.00024607984
01/08/2005,-0.1206586
01/09/2005,-0.06132405
01/10/2005,-0.1286147
01/11/2005,-0.009665407
01/12/2005,0.02825882
01/01/2006,-0.02038065
01/02/2006,0.1783092
01/03/2006,-0.008855699
01/04/2006,-0.03144487
01/05/2006,-0.001257838
01/06/2006,0.06824102
01/07/2006,0.169812
01/08/2006,0.0435349
01/09/2006,0.2240679
01/10/2006,0.09348398
01/11/2006,0.06696296
01/12/2006,0.1355594
01/01/2007,0.1539324
01/02/2007,0.1022662
01/03/2007,0.1263433
01/04/2007,0.04960747
01/05/2007,0.1146196
01/06/2007,0.1130066
01/07/2007,0.1213988
01/08/2007,-0.0550843
01/09/2007,-0.0990172
01/10/2007,-0.07360546
01/11/2007,0.005767598
01/12/2007,-0.01894802
01/01/2008,-0.00820686
01/02/2008,0.1475739
01/03/2008,0.1444902
01/04/2008,0.02727069
01/05/2008,0.2797053
01/06/2008,0.2086942
01/07/2008,0.1562914
01/08/2008,0.1253792
01/09/2008,0.06292139
01/10/2008,-0.07083632
01/11/2008,-0.08828338
01/12/2008,-0.111611
01/01/2009,-0.1893341
01/02/2009,-0.2136438
01/03/2009,-0.0526532
01/04/2009,0.08736145
01/05/2009,0.2607554
01/06/2009,0.3674863
01/07/2009,0.4172056
01/08/2009,0.1822946
01/09/2009,0.09052254
01/10/2009,0.1326882
01/11/2009,0.1653456
01/12/2009,0.3988498
01/01/2010,0.1868612
01/02/2010,0.1015288
01/03/2010,0.2853513
01/04/2010,0.1713521
01/05/2010,0.1331875
01/06/2010,0.1932088
01/07/2010,0.06598694
01/08/2010,0.06473808
01/09/2010,0.03753014
01/10/2010,0.1108757
01/11/2010,-0.06828478
01/12/2010,-0.02754916
01/01/2011,-0.02934489
01/02/2011,0.2012248
01/03/2011,0.1694846
01/04/2011,0.2629037
01/05/2011,0.1983967
01/06/2011,0.1613316
01/07/2011,0.0920781
01/08/2011,0.0160703
01/09/2011,0.221268
01/10/2011,0.1627895
01/11/2011,0.05183386
01/12/2011,-0.3452221
01/01/2012,-0.1812053
01/02/2012,-0.1670026
01/03/2012,0.1221355
01/04/2012,-0.06325868
01/05/2012,-0.1390517
01/06/2012,-0.231743
01/07/2012,-0.1606131
01/08/2012,-0.07201643
01/09/2012,-0.1024628
01/10/2012,-0.1318029
01/11/2012,-0.1150929
01/12/2012,0.04997629
01/01/2013,0.2052517
01/02/2013,0.0985559
01/03/2013,0.03454485
01/04/2013,-0.1125411
01/05/2013,-0.1296975
01/06/2013,-0.01427151
01/07/2013,-0.03960975
01/08/2013,-0.06207182
01/09/2013,0.01525683
01/10/2013,0.07892002
01/11/2013,-0.0120392
01/12/2013,0.06136662
01/01/2014,0.1472404
01/02/2014,0.3016836
01/03/2014,0.1190995
01/04/2014,0.04914928
01/05/2014,0.1607046
01/06/2014,0.1896837
01/07/2014,0.1586365
01/08/2014,0.04289648
01/09/2014,0.1493651
01/10/2014,0.250769
01/11/2014,0.1306253
01/12/2014,0.1680037
01/01/2015,0.3587008
01/02/2015,0.07177921
01/03/2015,-0.04896505
01/04/2015,0.1370448
01/05/2015,0.1500016
01/06/2015,0.008261057
01/07/2015,-0.07002988
01/08/2015,0.03827503
01/09/2015,0.07526801
01/10/2015,0.1788635
01/11/2015,0.2673763
01/12/2015,0.3621559
01/01/2016,0.2922735
01/02/2016,0.2157443
01/03/2016,0.1872605
01/04/2016,0.1058635
01/05/2016,0.05456698
01/06/2016,0.2300595
01/07/2016,0.2241709
01/08/2016,0.1550681
01/09/2016,0.2061738
01/10/2016,0.2669993
01/11/2016,0.2581909
01/12/2016,0.5765041
01/01/2017,0.4918638
01/02/2017,0.2831957
01/03/2017,0.1883544
01/04/2017,0.2490028
01/05/2017,0.2036289
01/06/2017,0.3355769
01/07/2017,0.2156887
01/08/2017,0.275743
01/09/2017,0.2807171
01/10/2017,0.3969501
01/11/2017,0.28981
01/12/2017,0.01011244
01/01/2018,0.2627107
01/02/2018,0.1575808
01/03/2018,0.1108486
01/04/2018,0.2141103
01/05/2018,0.2598457
01/06/2018,0.3582786
01/07/2018,0.3493775
01/08/2018,0.364012
01/09/2018,0.1585587
01/10/2018,0.1960579
01/11/2018,0.3055884
01/12/2018,0.3077067
01/01/2019,0.3351106
01/02/2019,0.4470451
01/03/2019,0.4801231
01/04/2019,0.3356582
01/05/2019,0.2769694
01/06/2019,0.1745924
01/07/2019,0.175437
01/08/2019,0.2400163
01/09/2019,0.1929333
01/10/2019,0.1900983
01/11/2019,0.2361211
01/12/2019,0.2304312
